id,key,value,type
53086691,highway,turning_circle,regular
53087031,highway,turning_circle,regular
53087227,highway,turning_circle,regular
53087763,highway,traffic_signals,regular
53087799,highway,turning_circle,regular
53088000,highway,traffic_signals,regular
53089307,highway,turning_circle,regular
53089400,highway,turning_circle,regular
53090524,highway,turning_circle,regular
53090683,highway,traffic_signals,regular
53091564,highway,turning_circle,regular
53091592,highway,turning_circle,regular
53091671,highway,turning_circle,regular
53094069,highway,stop,regular
53095003,highway,turning_circle,regular
53095121,highway,stop,regular
53096220,highway,turning_circle,regular
53096366,highway,stop,regular
53096401,highway,turning_circle,regular
53096461,highway,turning_circle,regular
53096975,highway,turning_circle,regular
53097386,highway,turning_circle,regular
53097904,highway,turning_circle,regular
53097936,highway,turning_circle,regular
53098239,highway,traffic_signals,regular
53098281,highway,traffic_signals,regular
53098384,highway,turning_circle,regular
53098384,highway,turning_circle,regular
53098941,highway,turning_circle,regular
53099630,highway,turning_circle,regular
53099872,highway,turning_circle,regular
53100225,crossing,uncontrolled,regular
53100225,crossing,uncontrolled,regular
53100563,highway,turning_circle,regular
53100699,highway,turning_circle,regular
53100890,highway,turning_circle,regular
53102013,highway,turning_circle,regular
53102335,highway,turning_circle,regular
53102811,highway,turning_circle,regular
53102857,highway,turning_circle,regular
53102948,highway,turning_circle,regular
53103321,highway,turning_circle,regular
53103374,highway,turning_circle,regular
53103773,highway,turning_circle,regular
53103807,crossing,traffic_signals,regular
53103807,crossing,traffic_signals,regular
53104009,highway,traffic_signals,regular
53104216,highway,turning_circle,regular
53104357,highway,traffic_signals,regular
53104524,highway,turning_circle,regular
53105065,highway,turning_circle,regular
53105102,highway,turning_circle,regular
53105202,highway,turning_circle,regular
53107144,highway,turning_circle,regular
53107524,highway,turning_circle,regular
53107711,highway,turning_circle,regular
53108280,highway,turning_circle,regular
53109767,highway,turning_circle,regular
53110807,highway,turning_circle,regular
53111133,highway,turning_circle,regular
53111398,highway,traffic_signals,regular
53111577,highway,turning_circle,regular
53112238,highway,turning_circle,regular
53112325,highway,turning_circle,regular
53113026,highway,traffic_signals,regular
53113053,highway,traffic_signals,regular
53113216,highway,turning_circle,regular
53113371,highway,turning_circle,regular
53113413,highway,turning_circle,regular
53113643,highway,turning_circle,regular
53113946,highway,stop,regular
53114366,highway,turning_circle,regular
53114654,highway,traffic_signals,regular
53114739,highway,turning_circle,regular
53115175,highway,turning_circle,regular
53115332,highway,traffic_signals,regular
53115509,highway,turning_circle,regular
53115582,highway,turning_circle,regular
53115624,highway,turning_circle,regular
53115970,highway,stop,regular
53117372,highway,traffic_signals,regular
53117552,highway,turning_circle,regular
53118327,highway,traffic_signals,regular
53118409,highway,turning_circle,regular
53118647,highway,turning_circle,regular
53118721,highway,traffic_signals,regular
53118746,sound,yes,traffic_signals
53118746,sound,yes,traffic_signals
53118782,highway,stop,regular
53118925,highway,turning_circle,regular
53119160,highway,traffic_signals,regular
53119318,highway,turning_circle,regular
53119354,traffic_calming,bump,regular
53119773,highway,turning_circle,regular
53119808,highway,turning_circle,regular
53120519,highway,turning_circle,regular
53120577,highway,turning_circle,regular
53120646,highway,traffic_signals,regular
53121192,highway,stop,regular
53121409,highway,turning_circle,regular
53122849,highway,traffic_signals,regular
53122891,highway,crossing,regular
53122916,highway,turning_circle,regular
53123999,highway,turning_circle,regular
53124036,highway,traffic_signals,regular
53124882,highway,turning_circle,regular
53124969,highway,turning_circle,regular
53125191,highway,turning_circle,regular
53125308,highway,turning_circle,regular
53125473,highway,traffic_signals,regular
53125838,highway,crossing,regular
53125958,highway,turning_circle,regular
53126686,highway,turning_circle,regular
53127093,highway,turning_circle,regular
53127786,highway,turning_circle,regular
53127946,highway,turning_circle,regular
53128598,highway,turning_circle,regular
53129197,highway,traffic_signals,regular
53129340,highway,turning_circle,regular
53129727,highway,turning_circle,regular
53129891,highway,turning_circle,regular
53130415,highway,turning_circle,regular
53130739,highway,turning_circle,regular
53130870,highway,turning_circle,regular
53131003,highway,traffic_signals,regular
53131192,highway,turning_circle,regular
